,alpha,beta,maximum cycles,average cycles
0,0.001,0.001,1,0.004
1,0.001,0.01,5,0.017
2,0.001,0.1,3,0.026
3,0.001,1.0,3,0.077
4,0.001,10.0,6,0.107
5,0.001,100.0,3,0.116
6,0.001,1000.0,3,0.104
7,0.001,10000.0,3,0.112
8,0.01,0.001,3,0.026
9,0.01,0.01,19,0.139
10,0.01,0.1,25,0.344
11,0.01,1.0,33,0.708
12,0.01,10.0,8,0.751
13,0.01,100.0,14,0.876
14,0.01,1000.0,8,0.846
15,0.01,10000.0,11,0.838
16,0.1,0.001,5,0.158
17,0.1,0.01,13,0.478
18,0.1,0.1,76,2.079
19,0.1,1.0,129,3.989
20,0.1,10.0,141,5.17
21,0.1,100.0,245,5.158
22,0.1,1000.0,213,5.18
23,0.1,10000.0,133,5.239
24,1.0,0.001,8,0.51
25,1.0,0.01,39,1.347
26,1.0,0.1,391,5.787
27,1.0,1.0,1417,26.254
28,1.0,10.0,7220,74.83
29,1.0,100.0,9188,86.458
30,1.0,1000.0,7523,85.002
31,1.0,10000.0,4533,65.249
32,10.0,0.001,6,0.696
33,10.0,0.01,34,1.555
34,10.0,0.1,166,6.377
35,10.0,1.0,2085,46.675
36,10.0,10.0,151234,441.271
37,10.0,100.0,62884,379.761
38,10.0,1000.0,25291,380.823
39,10.0,10000.0,118924,451.973
40,100.0,0.001,5,0.666
41,100.0,0.01,23,1.444
42,100.0,0.1,78,5.84
43,100.0,1.0,15689,98.859
44,100.0,10.0,24333,420.027
45,100.0,100.0,126449,740.234
46,100.0,1000.0,91714,604.1
47,100.0,10000.0,251159,784.908
48,1000.0,0.001,7,0.691
49,1000.0,0.01,31,1.48
50,1000.0,0.1,183,6.67
51,1000.0,1.0,9268,81.142
52,1000.0,10.0,44278,412.084
53,1000.0,100.0,21661,514.266
54,1000.0,1000.0,148288,698.543
55,1000.0,10000.0,147905,627.016
56,10000.0,0.001,7,0.63
57,10000.0,0.01,27,1.56
58,10000.0,0.1,194,7.076
59,10000.0,1.0,3820,79.333
60,10000.0,10.0,54421,471.901
61,10000.0,100.0,16487,404.312
62,10000.0,1000.0,164922,726.591
63,10000.0,10000.0,330762,736.467
